code,network,name,latitude,longitude,elevation,created_at
KLI,IA,Kotabumi,-4.8363,104.8705,,2025-02-06 11:35:03
KLJI,IA,Klakah,-7.99607,113.25175,,2025-02-06 11:35:03
KLNI,IA,Mataram,-8.4219,116.0949,,2025-02-06 11:35:03
KLSI,IA,Kotabumi,-4.6871,104.7317,,2025-02-06 11:35:03
KLSM,IA,Kluet-Utara,3.2211,97.3158,,2025-02-06 11:35:03
KMBFM,IA,Kuwus,-8.5654,120.3131,,2025-02-06 11:35:03
KMMI,IA,Kalianget,-7.0412,113.9157,,2025-02-06 11:35:03
KMNI,IA,Kota-Mataram,-8.620637,116.08918,,2025-02-06 11:35:03
KMPI,IA,Kaimana,-3.6617,133.7044,,2025-02-06 11:35:03
KMSI,IA,Kotamubagu,0.5745,123.8907,,2025-02-06 11:35:03
KOMFI,IA,Komodo,-8.536,119.547,,2025-02-06 11:35:03
KORPI,IA,Kofiau,-1.158,129.845,,2025-02-06 11:35:03
KPJI,IA,Karang-Pucung,-7.3332,108.9312,,2025-02-06 11:35:03
KPJM,IA,Kapas,-7.1883,111.9281,,2025-02-06 11:35:03
KRAI,IA,Kairatu,-3.3184,128.3947,,2025-02-06 11:35:03
KRJI,IA,Kerinci,-2.0912,101.4619,,2025-02-06 11:35:03
KRSI,IA,Karosa,-1.8903,119.5627,,2025-02-06 11:35:03
KSI,IA,Kepahiang,-3.651,102.5929,,2025-02-06 11:35:03
KTMI,IA,Kormomolin,-7.66,131.58,,2025-02-06 11:35:03
KTTI,IA,Kolbano,-10.0369,124.5163,,2025-02-06 11:35:03
KUBSI,IA,Kulisusu,-4.78121,123.18684,,2025-02-06 11:35:03
KUKI,IA,Kutai-Barat,-0.084665,115.662491,,2025-02-06 11:35:03
KUSI,IA,Kluet-Tengah,3.6579,97.374397,,2025-02-06 11:35:03
KWJI,IA,Kertek,-7.3837,109.9691,,2025-02-06 11:35:03
LASI,IA,Langsa,4.4573,97.9704,,2025-02-06 11:35:03
LBFI,IA,Labuhan-Bajo,-8.48,119.8921,,2025-02-06 11:35:03
LBNFM,IA,Lambu,-8.6018,119.0121,,2025-02-06 11:35:03
LBTSI,IA,Lintau Buo Utara,-0.475,100.625,,2025-02-06 11:35:03
LDSI,IA,Sukandebi,2.88948,98.160522,,2025-02-06 11:35:03
LEM,IA,Lembang,-6.8266,107.6175,,2025-02-06 11:35:03
LEMFI,IA,Lembor,-8.707,120.172,,2025-02-06 11:35:03
LESM,IA,Lemong,-4.9616,103.7124,,2025-02-06 11:35:03
LHMI,IA,Lhokseumawe,5.2286,96.9469,,2025-02-06 11:35:03
LHSM,IA,Semendo,-4.1779734,103.5742079,,2025-02-06 11:35:03
LISM,IA,Lingge-Isaq,4.3166,97.1822,,2025-02-06 11:35:03
LJPI,IA,Lereh,-3.1271,139.945,,2025-02-06 11:35:03
LKCI,IA,Lasusua,-3.492,120.8858,,2025-02-06 11:35:03
LKSM,IA,Suliki,0.1847,100.6,,2025-02-06 11:35:03
LKUCM,IA,Langgikima,-3.302,122.192,,2025-02-06 11:35:03
LLSI,IA,Lubuk-LinggauBarat,-3.27843,102.9139,,2025-02-06 11:35:03
LLSM,IA,Limau,-5.60039,104.80943,,2025-02-06 11:35:03
LMNI,IA,Lembata,-8.23386,123.716,,2025-02-06 11:35:03
LMTI,IA,Langke-Rembong,-8.6011,120.4771,,2025-02-06 11:35:03
LOCM,IA,Lore-Tengah,-1.6502,120.1825,,2025-02-06 11:35:03
LOMSI,IA,Lohia,-4.91095,122.74157,,2025-02-06 11:35:03
LPCM,IA,Lembang,-3.501,119.72,,2025-02-06 11:35:03
LPSM,IA,Lengayang,1.7081,100.7199,,2025-02-06 11:35:03
LRTI,IA,Larantuka,-8.2752,123,,2025-02-06 11:35:03
LSCM,IA,Lalabati-Rilau,-4.365,119.8987,,2025-02-06 11:35:03
LSNI,IA,Lunyuk,-8.966651,117.218239,,2025-02-06 11:35:03
LTNI,IA,Lombok-Timur,-8.768723,116.484734,,2025-02-06 11:35:03
LTNSI,IA,Lahewa Timur,1.336,97.320,,2025-02-06 11:35:03
LTSM,IA,Lumut,1.5294,98.9305,,2025-02-06 11:35:03
LUCM,IA,Lore-Utara,-1.4262,120.3225,,2025-02-06 11:35:03
LUJI,IA,Lumbang,-7.826,113.0107,,2025-02-06 11:35:03
LUWI,IA,Luwuk,-1.0418,122.7716,,2025-02-06 11:35:03
MABKI,IA,Maratua,2.2433,118.5676,,2025-02-06 11:35:03
MAKBI,IA,Manggis,-8.487,115.505,,2025-02-06 11:35:03
MAKKI,IA,Kep.Karimata,-1.582298,108.796982,,2025-02-06 11:35:03
MASFI,IA,Magepanda,-8.537,122.032,,2025-02-06 11:35:03
MASM,IA,Masjid-Raya,5.4996,95.5186,,2025-02-06 11:35:03
MASSI,IA,Marore,4.733,125.479,,2025-02-06 11:35:03
MBBI,IA,Muara-Bungo,-1.5410033,102.098745,,2025-02-06 11:35:03
MBJI,IA,Majalengka-Banjarnegara,-7.4488,109.6322,,2025-02-06 11:35:03
MBPI,IA,Manimeri,-2.035,133.7322,,2025-02-06 11:35:03
MBRPI,IA,MisoolBarat,-1.771,130.407,,2025-02-06 11:35:03
MBSM,IA,Marga-Sakti-Seblat,-3.145246,101.83734,,2025-02-06 11:35:03
MDSI,IA,Muara-Dua,-4.486,104.1782,,2025-02-06 11:35:03
MGAI,IA,Melonguane-Kep-Talaud,4.0079,126.67,,2025-02-06 11:35:03
MIBPI,IA,Mindiptana,-5.879,140.709,,2025-02-06 11:35:03
MIPI,IA,Mimika-Baru,-4.5301,136.8935,,2025-02-06 11:35:03
MISSI,IA,Miangas,5.552612,126.58147,,2025-02-06 11:35:03
MKBI,IA,Muko-Muko,-2.4474,101.2396,,2025-02-06 11:35:03
MKJM,IA,Manisrenggo,-7.6629,110.4834,,2025-02-06 11:35:03
MKSM,IA,Muara-Sahung,-4.57103,103.360268,,2025-02-06 11:35:03
MLJI,IA,Malang,-8.1575,112.4467,,2025-02-06 11:35:03
MLJM,IA,Mantup,-7.2483,112.3379,,2025-02-06 11:35:03
